remark,"เคลียร์เงินทดรองจ่าย คุณอภิรดี#PR2021120168 ค่าใช้จ่ายรอบ 1-15 Jan 2022*ยอดโอน 3,765 ลว.25.1.22"
costcode,C100008
DR_amt,93.46
CR_amt,0
predpt_name,KOE Tipco 1-20 Jan 22
vchno,APO2022010099
vchdate,44581
remark,"เคลียร์เงินทดรองจ่าย คุณอภิรดี#PR2021120168 ค่าใช้จ่ายรอบ 1-15 Jan 2022*ยอดโอน 3,765 ลว.25.1.22"
costcode,C100008
DR_amt,23.36
CR_amt,0
predpt_name,KOE Tipco 1-20 Jan 22
vchno,APO2022010099
vchdate,44581
remark,"เคลียร์เงินทดรองจ่าย คุณอภิรดี#PR2021120168 ค่าใช้จ่ายรอบ 1-15 Jan 2022*ยอดโอน 3,765 ลว.25.1.22"
costcode,C100008
DR_amt,152.34
CR_amt,0
predpt_name,KOE Tipco 1-20 Jan 22
vchno,APO2022010099
vchdate,44581
remark,"เคลียร์เงินทดรองจ่าย คุณอภิรดี#PR2021120168 ค่าใช้จ่ายรอบ 1-15 Jan 2022*ยอดโอน 3,765 ลว.25.1.22"
costcode,C100008
DR_amt,307.48
CR_amt,0
predpt_name,KOE Tipco 1-20 Jan 22
vchno,APO2022010100
vchdate,44581
remark,"เคลียร์เงินทดรองจ่าย คุณทรงศรี#PR2021120168 ค่าใช้จ่ายรอบ 1-15 Jan 2022*ยอดโอน 2,386 ลว.25.1.22 "
costcode,C100008
DR_amt,4645
CR_amt,0
predpt_name,KOE Tipco 1-20 Jan 22
vchno,APO2022010100
vchdate,44581
remark,"เคลียร์เงินทดรองจ่าย คุณทรงศรี#PR2021120168 ค่าใช้จ่ายรอบ 1-15 Jan 2022*ยอดโอน 2,386 ลว.25.1.22 "
costcode,C100008
DR_amt,785.05
CR_amt,0
predpt_name,KOE Tipco 1-20 Jan 22
vchno,APO2022010100
vchdate,44581
remark,"เคลียร์เงินทดรองจ่าย คุณทรงศรี#PR2021120168 ค่าใช้จ่ายรอบ 1-15 Jan 2022*ยอดโอน 2,386 ลว.25.1.22 "
costcode,C100008
DR_amt,943.93
CR_amt,0
predpt_name,KOE Tipco 1-20 Jan 22
vchno,APO2022010100
vchdate,44581
remark,"เคลียร์เงินทดรองจ่าย คุณทรงศรี#PR2021120168 ค่าใช้จ่ายรอบ 1-15 Jan 2022*ยอดโอน 2,386 ลว.25.1.22 "
costcode,C100008
DR_amt,260.75
CR_amt,0
predpt_name,KOE Tipco 1-20 Jan 22
vchno,APO2022010100
vchdate,44581
remark,"เคลียร์เงินทดรองจ่าย คุณทรงศรี#PR2021120168 ค่าใช้จ่ายรอบ 1-15 Jan 2022*ยอดโอน 2,386 ลว.25.1.22 "
costcode,C100008
DR_amt,29.91
CR_amt,0
predpt_name,KOE Tipco 1-20 Jan 22
vchno,APO2022010100
vchdate,44581
remark,"เคลียร์เงินทดรองจ่าย คุณทรงศรี#PR2021120168 ค่าใช้จ่ายรอบ 1-15 Jan 2022*ยอดโอน 2,386 ลว.25.1.22 "
costcode,C100008
DR_amt,29.91
CR_amt,0
predpt_name,KOE Tipco 1-20 Jan 22
vchno,APO2022010100
vchdate,44581
remark,"เคลียร์เงินทดรองจ่าย คุณทรงศรี#PR2021120168 ค่าใช้จ่ายรอบ 1-15 Jan 2022*ยอดโอน 2,386 ลว.25.1.22 "
costcode,C100008
DR_amt,471.03
CR_amt,0
predpt_name,KOE Tipco 1-20 Jan 22
vchno,APO2022010100
vchdate,44581
remark,"เคลียร์เงินทดรองจ่าย คุณทรงศรี#PR2021120168 ค่าใช้จ่ายรอบ 1-15 Jan 2022*ยอดโอน 2,386 ลว.25.1.22 "
costcode,C100008
DR_amt,29.91
CR_amt,0
predpt_name,KOE Tipco 1-20 Jan 22
vchno,APO2022010100
vchdate,44581
remark,"เคลียร์เงินทดรองจ่าย คุณทรงศรี#PR2021120168 ค่าใช้จ่ายรอบ 1-15 Jan 2022*ยอดโอน 2,386 ลว.25.1.22 "
costcode,C100008
DR_amt,134.58
CR_amt,0
predpt_name,KOE Tipco 1-20 Jan 22
vchno,APO2022010100
vchdate,44581
remark,"เคลียร์เงินทดรองจ่าย คุณทรงศรี#PR2021120168 ค่าใช้จ่ายรอบ 1-15 Jan 2022*ยอดโอน 2,386 ลว.25.1.22 "
costcode,C100008
DR_amt,29.91
CR_amt,0
predpt_name,KOE Tipco 1-20 Jan 22
vchno,APO2022010100
vchdate,44581
remark,"เคลียร์เงินทดรองจ่าย คุณทรงศรี#PR2021120168 ค่าใช้จ่ายรอบ 1-15 Jan 2022*ยอดโอน 2,386 ลว.25.1.22 "
costcode,C100008
DR_amt,236.45
CR_amt,0
predpt_name,KOE Tipco 1-20 Jan 22
vchno,APO2022010100
vchdate,44581
remark,"เคลียร์เงินทดรองจ่าย คุณทรงศรี#PR2021120168 ค่าใช้จ่ายรอบ 1-15 Jan 2022*ยอดโอน 2,386 ลว.25.1.22 "
costcode,C100008
DR_amt,469.16
CR_amt,0
predpt_name,KOE Tipco 1-20 Jan 22
vchno,APO2022010100
vchdate,44581
remark,"เคลียร์เงินทดรองจ่าย คุณทรงศรี#PR2021120168 ค่าใช้จ่ายรอบ 1-15 Jan 2022*ยอดโอน 2,386 ลว.25.1.22 "
costcode,C100008
DR_amt,193.46
CR_amt,0
predpt_name,KOE Tipco 1-20 Jan 22
vchno,APO2022010101
vchdate,44581
remark,เคลียร์เงินทดรองจ่าย คุณวนิดา#PR2021120168 ค่าใช้จ่ายรอบ 1-15 Jan 2022
costcode,C100008
DR_amt,3675
CR_amt,0
predpt_name,KOE Tipco 1-20 Jan 22
vchno,APO2022010101
vchdate,44581
remark,เคลียร์เงินทดรองจ่าย คุณวนิดา#PR2021120168 ค่าใช้จ่ายรอบ 1-15 Jan 2022
costcode,C100008
DR_amt,175.7
CR_amt,0
predpt_name,KOE Tipco 1-20 Jan 22
vchno,APO2022010101
vchdate,44581
remark,เคลียร์เงินทดรองจ่าย คุณวนิดา#PR2021120168 ค่าใช้จ่ายรอบ 1-15 Jan 2022
costcode,C100008
DR_amt,504.67
CR_amt,0
predpt_name,KOE Tipco 1-20 Jan 22
vchno,APO2022010101
vchdate,44581
remark,เคลียร์เงินทดรองจ่าย คุณวนิดา#PR2021120168 ค่าใช้จ่ายรอบ 1-15 Jan 2022
costcode,C100008
DR_amt,542.06
CR_amt,0
